question,answer,predictions,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,,guess
urgently,desperately,conceivably,wrong
consumed,eaten,bred,wrong
advent,coming,stability,wrong
concisely,succinctly,powerfully,wrong
salutes,greetings,,guess
solitary,alone,alone,correct
hasten,accelerate,permit,wrong
perseverance,endurance,skill,wrong
fanciful,imaginative,apparent,wrong
showed,demonstrated,postponed,wrong
constantly,continually,continually,correct
issues,subjects,,guess
furnish,supply,supply,correct
costly,expensive,,guess
recognized,acknowledged,welcomed,wrong
spot,location,climate,wrong
make,earn,borrow,wrong
often,frequently,hardly,wrong
easygoing,relaxed,frontier,wrong
debate,argument,,guess
narrow,thin,clear,wrong
arranged,planned,studied,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,correct
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,research,wrong
discrepancies,differences,,guess
prolific,productive,promising,wrong
unmatched,unequaled,,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,wrong
highlight,accentuate,,guess
hastily,hurriedly,habitually,wrong
temperate,mild,,guess
grin,smile,smile,correct
verbally,orally,,guess
physician,doctor,nurse,wrong
essentially,basically,possibly,wrong
keen,sharp,sharp,correct
situated,positioned,isolated,wrong
principal,major,most,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,shops,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,,guess
annals,chronicles,songs,wrong
wildly,furiously,abruptly,wrong
hailed,acclaimed,remembered,wrong
command,mastery,observation,wrong
concocted,devised,,guess
prospective,potential,,guess
generally,broadly,accurately,wrong
sustained,prolonged,analyzed,wrong
perilous,dangerous,binding,wrong
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,photograph,wrong
primarily,chiefly,,guess
colloquial,conversational,,guess
resolved,settled,settled,correct
feasible,possible,,guess
expeditiously,rapidly,rapidly,correct
percentage,proportion,,guess
terminated,ended,postponed,wrong
uniform,alike,alike,correct
figure,solve,solve,correct
sufficient,enough,recent,wrong
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,closer,wrong
roots,origins,function,wrong
normally,ordinarily,,guess
